column,value,count,percentage
age,18-24,223,46.84873949579832
age,25-34,142,29.831932773109244
age,35-44,35,7.352941176470589
age,65 and above,28,5.88235294117647
age,45-54,27,5.6722689075630255
age,55-64,21,4.411764705882353
sex,Female / Babae,253,53.15126050420168
sex,Male / Lalaki,207,43.48739495798319
sex,Prefer not to say / Ayaw Sagutin,16,3.361344537815126
route,Oral / Iniinom,424,89.07563025210085
route,Other: N/A,41,8.61344537815126
route,Intravenous / sa ugat,6,1.2605042016806722
route,Topical / Pinapahid,5,1.050420168067227
valid,1,423,88.8655462184874
valid,0,53,11.134453781512606
reporting_channel,google_form,476,100.0
reason,diabetes,103,21.638655462184875
reason,hypertension,83,17.436974789915965
reason,headache,30,6.302521008403361
reason,sore throat,26,5.46218487394958
reason,hyperacidity,20,4.201680672268908
reason,tooth infection,16,3.361344537815126
reason,fever,16,3.361344537815126
reason,sipon,16,3.361344537815126
reason,dysmenorrhea,15,3.1512605042016806
reason,body pain,15,3.1512605042016806
reason,dehydration,14,2.941176470588235
reason,toothache,13,2.73109243697479
reason,sinus infection,13,2.73109243697479
reason,masama pakiramdam,13,2.73109243697479
reason,ubo at sore throat,13,2.73109243697479
reason,stress,13,2.73109243697479
reason,puyat,11,2.3109243697478994
reason,ubo,10,2.100840336134454
reason,motion sickness,10,2.100840336134454
reason,pagod,10,2.100840336134454
reason,food allergy,7,1.4705882352941175
reason,diarrhea,5,1.050420168067227
reason,overexertion,4,0.8403361344537815
