column,missing_count,missing_percentage
other_medications,120,25.210084033613445
dosage,23,4.831932773109244
activities,0,0.0
age,0,0.0
avg_word_length,0,0.0
case_id,0,0.0
char_count,0,0.0
code_switch_points,0,0.0
code_switch_ratio,0,0.0
contains_numeric,0,0.0
contains_time_expression,0,0.0
en_ratio,0,0.0
en_tokens,0,0.0
illnesses,0,0.0
meals,0,0.0
medicine_checkbox,0,0.0
onset_cue_hits,0,0.0
other_ratio,0,0.0
other_tokens,0,0.0
post_action,0,0.0
reason,0,0.0
reporting_channel,0,0.0
route,0,0.0
sentence_count,0,0.0
sex,0,0.0
symptom_cue_hits,0,0.0
text_report,0,0.0
tl_ratio,0,0.0
tl_tokens,0,0.0
unique_word_count,0,0.0
valid,0,0.0
valid_numeric,0,0.0
weight,0,0.0
weight_numeric,0,0.0
word_count,0,0.0
