feature,count,mean,std,min,25%,50%,75%,max
weight,476.0,76.69957983193277,16.8746486850583,50.0,62.0,75.0,89.0,117.0
valid,476.0,0.8886554621848739,0.3148892520296397,0.0,1.0,1.0,1.0,1.0
char_count,476.0,183.26680672268907,42.84510941927834,36.0,156.75,181.0,209.0,313.0
word_count,476.0,29.689075630252102,6.786671642701375,6.0,25.0,30.0,33.0,50.0
unique_word_count,476.0,25.40546218487395,4.54607888840698,6.0,23.0,26.0,28.0,37.0
sentence_count,476.0,2.7794117647058822,0.44918226354382357,1.0,3.0,3.0,3.0,3.0
avg_word_length,476.0,4.98332321100492,0.34587510771048907,4.103448275862069,4.75,4.962250712250713,5.173913043478261,6.181818181818182
en_tokens,476.0,14.926470588235293,4.621329603750586,3.0,12.0,14.0,18.0,34.0
tl_tokens,476.0,14.762605042016807,4.104983971953554,2.0,12.0,15.0,18.0,27.0
other_tokens,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en_ratio,476.0,0.5016893338174223,0.0934861871315986,0.27586206896551724,0.4375,0.5,0.5670454545454545,0.7777777777777778
tl_ratio,476.0,0.4983106661825777,0.0934861871315986,0.2222222222222222,0.4329545454545455,0.5,0.5625,0.7241379310344828
other_ratio,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code_switch_points,476.0,13.756302521008404,4.291909424765816,3.0,11.0,13.0,17.0,28.0
code_switch_ratio,476.0,0.47938567394615017,0.09855915228951143,0.18181818181818182,0.4117647058823529,0.48148148148148145,0.5454545454545454,0.8
symptom_cue_hits,476.0,1.0714285714285714,0.769923343513637,0.0,1.0,1.0,2.0,3.0
onset_cue_hits,476.0,1.0063025210084033,0.7268983747648198,0.0,1.0,1.0,1.0,3.0
contains_numeric,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contains_time_expression,476.0,0.7668067226890757,0.4233091348150524,0.0,1.0,1.0,1.0,1.0
weight_numeric,476.0,76.69957983193277,16.8746486850583,50.0,62.0,75.0,89.0,117.0
valid_numeric,476.0,0.8886554621848739,0.3148892520296397,0.0,1.0,1.0,1.0,1.0
