post_action,count,percentage
Rested or waited for it to pass / Nagpahinga o naghintay na mawala,382,39.66770508826583
Stopped taking/using the medicine / Itinigil ang pag-inom o paggamit ng gamot,167,17.341640706126686
Consulted a doctor or health worker / Kumonsulta sa doktor o health worker,135,14.018691588785046
Took another medicine to relieve the symptoms / Uminom ng ibang gamot para maibsan ang sintomas,105,10.903426791277258
Went to a clinic or hospital / Pumunta sa klinika o ospital,53,5.503634475597092
Continued taking/using the medicine as usual / Ipinagpatuloy ang pag-inom o paggamit ng gamot,34,3.5306334371754935
Reported it to a pharmacist / Ipinagbigay-alam sa parmasyutiko,28,2.907580477673936
Other: Uminom ng tubig,22,2.284527518172378
Other: Nagpahangin,20,2.0768431983385254
Other: Nag-ORS,14,1.453790238836968
Other: Nagpa-IV fluids,2,0.20768431983385255
Reported it to a government agency or hotline / Ipinagbigay-alam sa ahensya ng gobyerno o hotline,1,0.10384215991692627
